GCA_035058605.1	WHRI 10021B
GCA_035058615.1	WHRI 8868
GCA_035058625.1	WHRI 8539
GCA_035058725.1	WHRI 8759
GCA_035058785.1	WHRI 10042
GCA_035058795.1	WHRI 8648
GCA_035058815.1	WHRI 8801
GCA_035058875.1	WHRI 8646
GCA_035058925.1	WHRI 10030A
GCA_035059005.1	WHRI 8763
GCA_035059025.1	WHRI 8975A
GCA_035059065.1	WHRI 8779
GCA_035059075.1	WHRI 8713
GCA_035059085.1	WHRI 8541
GCA_035059185.1	WHRI 8807
GCA_035059245.1	WHRI 8721
GCA_035059285.1	WHRI 8320
GCA_035059305.1	WHRI 10033A
GCA_035059315.1	WHRI 10019A
GCA_035059345.1	WHRI 8404
GCA_035059355.1	WHRI 8629
GCA_035059375.1	WHRI 8808
GCA_035059395.2	WHRI 8892A
GCA_035059405.1	WHRI 8976
GCA_035059435.1	WHRI 8968
GCA_035059455.1	WHRI 8981
GCA_035059475.1	WHRI 8895
GCA_035059495.1	WHRI 8894
GCA_035059505.1	WHRI 8952A
GCA_035059535.1	WHRI 8966
GCA_035059555.1	WHRI 8430
GCA_035059575.1	WHRI 8434
GCA_035059585.2	WHRI 8978
GCA_035059615.1	WHRI 8979
GCA_035059635.1	WHRI 8322
GCA_035059655.1	WHRI 8412
GCA_035059675.1	WHRI 8374
GCA_035059695.1	WHRI 8443B
GCA_035059715.1	WHRI 8450B
GCA_035059735.1	WHRI 8444A
GCA_035059755.1	WHRI 8449A
GCA_035059785.1	WHRI 8460B
GCA_035059835.1	WHRI 8452A
GCA_035059915.1	WHRI 8377
GCA_035059935.1	WHRI 8387
GCA_035059975.1	WHRI 8980
GCA_035059995.1	WHRI 8323
GCA_035060055.1	WHRI 8471
GCA_035060115.1	WHRI 8453B
GCA_035060135.1	WHRI 8468A
GCA_035060175.1	WHRI 8454A
GCA_035060195.1	WHRI 8839
GCA_035060295.1	WHRI 8459B
GCA_035060315.1	WHRI 7761
GCA_035060355.1	WHRI 8840
GCA_035060375.1	WHRI 8463A
GCA_035060415.1	WHRI 8838
GCA_035060455.1	WHRI 7286
GCA_035060475.1	WHRI 8348
GCA_035060495.1	WHRI 8329
GCA_035060515.1	WHRI 8804 NCPPB 3566
GCA_035060535.1	WHRI 8836
GCA_035060555.1	WHRI 8816
GCA_035060575.1	WHRI 8841
GCA_035060595.1	WHRI 8837
GCA_035060605.1	WHRI 8330
GCA_035060635.1	WHRI 7284
GCA_035060655.1	WHRI 7283
GCA_035060675.1	WHRI 7782
GCA_035060695.1	WHRI 7285
GCA_035060715.1	WHRI 7287
GCA_035060735.1	WHRI 7776
GCA_035060755.1	WHRI 7803
GCA_035060775.1	WHRI 7657
GCA_035060795.1	WHRI 7289
GCA_035060815.1	WHRI 7290
GCA_035060835.1	WHRI 7804
GCA_035060855.1	WHRI 7294
GCA_035060875.1	WHRI 7292
GCA_035060895.1	WHRI 7805
GCA_035060915.1	WHRI 7795
GCA_035060935.1	WHRI 7806
GCA_035060975.1	WHRI 7807
GCA_035060995.1	WHRI 7808
GCA_035061015.1	WHRI 8127
GCA_035061035.1	WHRI 8332
GCA_035061055.1	WHRI 7942
GCA_035061075.1	WHRI 7810
GCA_035061095.1	WHRI 8020A
GCA_035061115.1	WHRI 8310
GCA_035061135.1	WHRI 8337B
GCA_035061155.1	WHRI 7809
GCA_035061175.1	WHRI 8078
GCA_035061195.1	WHRI 8022A
GCA_035061215.1	WHRI 8063
GCA_035061235.1	WHRI 8021
GCA_035061255.1	WHRI 8372
GCA_035061275.1	WHRI 8023A
GCA_035061315.1	WHRI 8333
GCA_035061335.1	WHRI 8806
GCA_035061355.1	WHRI 8346
GCA_040192315.1	WHRI 8827A
GCA_040192675.1	WHRI 3845B
GCA_040192715.1	WHRI 8506
GCA_040193215.1	WHRI 8516B
GCA_040193535.1	WHRI 3976A
GCA_040193575.1	WHRI 8514
GCA_040193615.1	WHRI 8824A
GCA_040193635.1	WHRI 8516A
GCA_040193675.1	WHRI 8826A
GCA_040193695.1	WHRI 3972A
GCA_040193715.1	WHRI 5490
GCA_040193755.1	WHRI 3846B
GCA_040193775.1	WHRI 3833A
GCA_040193795.1	WHRI 8815
GCA_040193815.1	WHRI 10072B
GCA_040193835.2	WHRI 8955
GCA_040193845.1	WHRI 8507
GCA_040193875.1	WHRI 10071B
GCA_040193895.1	WHRI 10072A
GCA_040193915.1	WHRI 8339
GCA_040193935.1	WHRI 8821
GCA_040193955.1	WHRI 10071A
GCA_040193975.1	WHRI 3978
GCA_040193995.1	WHRI 8823
GCA_040194015.1	WHRI 5489
GCA_040194035.2	WHRI 5812
GCA_040194055.1	WHRI 7758
GCA_040194075.1	WHRI 5659
GCA_040194095.1	WHRI 5482
GCA_040194115.1	WHRI 5486
GCA_040194135.1	WHRI 6190
GCA_040194155.1	WHRI 3831A
GCA_040194175.1	WHRI 3961
GCA_040194195.1	WHRI 3962
GCA_040194215.1	WHRI 3874
GCA_040194235.1	WHRI 3844B
GCA_040194255.1	WHRI 3835A
GCA_040194265.1	WHRI 3852B
GCA_040194295.1	WHRI 8825
GCA_040194315.2	WHRI 8956
GCA_040194335.2	WHRI 3834A
GCA_040194355.1	WHRI 8953
GCA_041519825.1	NCPPB 4682
GCA_041521225.1	NCPPB 4678
GCA_041521255.1	NCPPB 1144
GCA_041521265.1	NCPPB 3927
GCA_041521275.1	NCPPB 4680
GCA_041889105.1	WHRI 6056
GCA_045504475.1	474
GCA_045688925.1	CFBP 5127
GCA_045688945.1	CFBP 8238
GCA_045688965.1	CFBP 6865
GCA_045707255.1	A342
GCA_045709045.1	CFBP 4954
GCA_045709075.1	CFBP 5241
